date,time,open,high,low,close,volume
20250424,1034,6230,6230,6230,6230,161
20250424,1035,6230,6230,6230,6230,11
20250424,1036,6230,6230,6230,6230,10
20250424,1037,6230,6230,6230,6230,34
20250424,1038,6230,6230,6230,6230,214
20250424,1039,6230,6230,6230,6230,3
20250424,1040,6230,6230,6230,6230,1
20250424,1044,6240,6250,6240,6250,431
20250424,1045,6250,6250,6250,6250,22
20250424,1047,6240,6240,6240,6240,3
20250424,1048,6250,6250,6250,6250,11
20250424,1049,6250,6250,6250,6250,258
20250424,1050,6250,6250,6250,6250,9
20250424,1051,6260,6260,6260,6260,306
20250424,1052,6250,6250,6250,6250,6
20250424,1053,6250,6260,6250,6260,113
20250424,1054,6260,6280,6250,6250,1488
20250424,1056,6270,6280,6270,6280,212
20250424,1058,6270,6270,6270,6270,1
20250424,1100,6250,6250,6250,6250,1
20250424,1101,6250,6250,6250,6250,300
20250424,1105,6240,6240,6240,6240,1
20250424,1106,6240,6240,6240,6240,5
20250424,1107,6240,6240,6230,6230,33
20250424,1117,6250,6250,6250,6250,142
20250424,1118,6250,6250,6250,6250,2000
20250424,1119,6250,6250,6250,6250,49
20250424,1120,6250,6250,6250,6250,11
20250424,1121,6250,6250,6250,6250,2
20250424,1122,6250,6250,6250,6250,1
20250424,1123,6250,6250,6240,6250,788
20250424,1124,6260,6260,6260,6260,1
20250424,1125,6250,6260,6250,6260,503
20250424,1127,6260,6260,6260,6260,1120
20250424,1128,6260,6260,6260,6260,10
20250424,1131,6260,6260,6260,6260,348
20250424,1132,6260,6260,6250,6260,74
20250424,1133,6250,6270,6250,6260,234
20250424,1134,6270,6270,6270,6270,34
20250424,1135,6250,6250,6250,6250,2
20250424,1136,6250,6260,6250,6260,104
20250424,1137,6250,6250,6250,6250,3
20250424,1138,6250,6250,6250,6250,163
20250424,1139,6260,6260,6255,6255,9
20250424,1143,6260,6260,6260,6260,241
20250424,1144,6260,6260,6260,6260,15
20250424,1145,6260,6260,6260,6260,44
20250424,1146,6270,6270,6270,6270,15
20250424,1147,6260,6260,6260,6260,2
20250424,1148,6270,6270,6270,6270,42
20250424,1149,6270,6300,6260,6300,5013
20250424,1150,6310,6310,6290,6290,63
20250424,1151,6280,6280,6280,6280,95
20250424,1152,6270,6270,6270,6270,106
20250424,1153,6270,6280,6270,6270,206
20250424,1156,6260,6270,6250,6270,607
20250424,1157,6260,6260,6260,6260,2
20250424,1158,6260,6260,6260,6260,21
20250424,1159,6260,6260,6260,6260,30
20250424,1200,6260,6260,6250,6250,33
20250424,1203,6260,6260,6260,6260,32
20250424,1204,6260,6260,6260,6260,1
20250424,1206,6250,6250,6250,6250,3
20250424,1207,6250,6250,6250,6250,99
20250424,1214,6250,6250,6250,6250,987
20250424,1216,6250,6250,6250,6250,7
20250424,1217,6250,6250,6250,6250,20
20250424,1218,6240,6240,6240,6240,5
20250424,1223,6240,6240,6240,6240,100
20250424,1224,6240,6240,6240,6240,1
20250424,1227,6240,6240,6240,6240,1
20250424,1228,6240,6240,6240,6240,1
20250424,1229,6240,6240,6240,6240,2
20250424,1231,6240,6240,6240,6240,419
20250424,1234,6250,6250,6250,6250,3
20250424,1236,6250,6250,6250,6250,5
20250424,1239,6250,6250,6250,6250,110
20250424,1240,6240,6240,6240,6240,1
20250424,1244,6240,6240,6240,6240,1
20250424,1246,6250,6250,6250,6250,1
20250424,1249,6250,6250,6250,6250,1
20250424,1252,6250,6250,6240,6240,144
20250424,1254,6250,6250,6250,6250,543
20250424,1255,6250,6250,6250,6250,5
20250424,1259,6245,6245,6230,6230,259
20250424,1301,6230,6230,6230,6230,10
20250424,1303,6240,6240,6240,6240,84
20250424,1308,6240,6240,6240,6240,5
20250424,1309,6240,6240,6240,6240,159
20250424,1318,6240,6240,6230,6230,100
20250424,1322,6240,6240,6230,6230,90
20250424,1323,6250,6250,6250,6250,212
20250424,1326,6250,6250,6250,6250,50
20250424,1329,6230,6230,6230,6230,1
20250424,1340,6240,6240,6240,6240,100
20250424,1345,6240,6240,6240,6240,1
20250424,1349,6240,6240,6240,6240,1
20250424,1351,6250,6250,6250,6250,5
20250424,1352,6240,6240,6240,6240,2
20250424,1353,6240,6240,6240,6240,15
20250424,1354,6250,6250,6250,6250,104
20250424,1356,6250,6250,6250,6250,171
20250424,1357,6250,6250,6250,6250,25
20250424,1358,6250,6250,6250,6250,200
20250424,1359,6250,6250,6250,6250,1
20250424,1400,6240,6240,6240,6240,1
20250424,1401,6240,6240,6240,6240,1
20250424,1403,6260,6260,6260,6260,2
20250424,1404,6250,6260,6250,6250,169
20250424,1406,6250,6250,6250,6250,1
20250424,1407,6240,6250,6240,6250,11
20250424,1415,6240,6240,6230,6230,2657
20250424,1419,6230,6230,6230,6230,1
20250424,1420,6240,6240,6240,6240,31
20250424,1422,6230,6230,6230,6230,1
20250424,1427,6230,6230,6230,6230,8
20250424,1429,6240,6240,6240,6240,103
20250424,1430,6240,6240,6230,6230,11
20250424,1436,6240,6240,6240,6240,308
20250424,1437,6240,6240,6240,6240,220
20250424,1439,6240,6240,6230,6230,439
20250424,1445,6230,6230,6230,6230,100
20250424,1446,6230,6230,6230,6230,100
20250424,1448,6240,6240,6240,6240,1
20250424,1451,6240,6240,6240,6240,123
20250424,1453,6230,6230,6230,6230,1
20250424,1454,6240,6240,6230,6230,10
20250424,1458,6230,6230,6230,6230,1
20250424,1504,6240,6240,6240,6240,29
20250424,1508,6230,6230,6230,6230,1
20250424,1509,6240,6240,6230,6230,5
20250424,1511,6240,6240,6240,6240,10
20250424,1512,6240,6240,6240,6240,50
20250424,1514,6230,6230,6230,6230,853
20250424,1516,6230,6230,6230,6230,41
20250424,1517,6240,6240,6240,6240,7
20250424,1518,6240,6240,6240,6240,58
20250424,1520,6230,6230,6220,6220,182
20250424,1530,6220,6220,6220,6220,580
20250425,901,6240,6240,6230,6230,763
20250425,902,6240,6260,6240,6260,201
20250425,903,6240,6240,6230,6230,505
20250425,904,6240,6240,6240,6240,3
20250425,906,6240,6250,6240,6240,573
20250425,907,6260,6260,6260,6260,23
20250425,908,6240,6240,6230,6230,1457
20250425,911,6250,6250,6250,6250,5
20250425,912,6240,6240,6240,6240,3
20250425,914,6250,6250,6250,6250,23
20250425,915,6240,6240,6240,6240,30
20250425,917,6240,6240,6240,6240,5
20250425,918,6240,6240,6240,6240,1
20250425,919,6250,6250,6250,6250,1
20250425,920,6250,6250,6250,6250,343
20250425,921,6250,6250,6250,6250,91
20250425,922,6240,6240,6230,6230,251
20250425,924,6230,6240,6230,6240,89
20250425,925,6250,6250,6250,6250,110
20250425,928,6240,6250,6240,6250,501
20250425,929,6240,6250,6240,6250,165
20250425,930,6240,6240,6240,6240,4
20250425,931,6240,6240,6230,6230,433
20250425,932,6240,6240,6240,6240,507
20250425,933,6250,6250,6250,6250,2
20250425,934,6250,6250,6250,6250,2
20250425,935,6240,6240,6240,6240,1
20250425,936,6245,6245,6245,6245,1
20250425,937,6245,6245,6245,6245,2
20250425,938,6245,6250,6245,6250,199
20250425,939,6250,6250,6240,6250,1096
20250425,940,6250,6250,6245,6250,155
20250425,941,6250,6250,6240,6250,352
20250425,942,6240,6240,6240,6240,4
20250425,943,6250,6250,6250,6250,2
20250425,945,6260,6260,6260,6260,26
20250425,947,6260,6260,6260,6260,200
20250425,948,6250,6250,6250,6250,5
